participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,ingreso_datos.1.player.id_in_group,ingreso_datos.1.player.age,ingreso_datos.1.player.gender,ingreso_datos.1.player.education,ingreso_datos.1.player.Q1,ingreso_datos.1.player.Q2,ingreso_datos.1.player.Q3,ingreso_datos.1.player.Q4,ingreso_datos.1.player.Q5,ingreso_datos.1.player.Q6,ingreso_datos.1.player.Q7,ingreso_datos.1.player.Q8,ingreso_datos.1.player.Q9,ingreso_datos.1.player.Q10,ingreso_datos.1.player.subsession_id,ingreso_datos.1.player.group_id,ingreso_datos.1.player.payoff,ingreso_datos.1.group.id_in_subsession,ingreso_datos.1.group.subsession_id,ingreso_datos.1.subsession.round_number,bret.1.player.id_in_group,bret.1.player.bomb,bret.1.player.bomb_row,bret.1.player.bomb_col,bret.1.player.boxes_collected,bret.1.player.pay_this_round,bret.1.player.round_result,bret.1.player.subsession_id,bret.1.player.group_id,bret.1.player.payoff,bret.1.group.id_in_subsession,bret.1.group.subsession_id,bret.1.subsession.round_number,bret.2.player.id_in_group,bret.2.player.bomb,bret.2.player.bomb_row,bret.2.player.bomb_col,bret.2.player.boxes_collected,bret.2.player.pay_this_round,bret.2.player.round_result,bret.2.player.subsession_id,bret.2.player.group_id,bret.2.player.payoff,bret.2.group.id_in_subsession,bret.2.group.subsession_id,bret.2.subsession.round_number,bret.3.player.id_in_group,bret.3.player.bomb,bret.3.player.bomb_row,bret.3.player.bomb_col,bret.3.player.boxes_collected,bret.3.player.pay_this_round,bret.3.player.round_result,bret.3.player.subsession_id,bret.3.player.group_id,bret.3.player.payoff,bret.3.group.id_in_subsession,bret.3.group.subsession_id,bret.3.subsession.round_number,bret.4.player.id_in_group,bret.4.player.bomb,bret.4.player.bomb_row,bret.4.player.bomb_col,bret.4.player.boxes_collected,bret.4.player.pay_this_round,bret.4.player.round_result,bret.4.player.subsession_id,bret.4.player.group_id,bret.4.player.payoff,bret.4.group.id_in_subsession,bret.4.group.subsession_id,bret.4.subsession.round_number,bret.5.player.id_in_group,bret.5.player.bomb,bret.5.player.bomb_row,bret.5.player.bomb_col,bret.5.player.boxes_collected,bret.5.player.pay_this_round,bret.5.player.round_result,bret.5.player.subsession_id,bret.5.player.group_id,bret.5.player.payoff,bret.5.group.id_in_subsession,bret.5.group.subsession_id,bret.5.subsession.round_number,lottery_game.1.player.id_in_group,lottery_game.1.player.loteria,lottery_game.1.player.coin,lottery_game.1.player.subsession_id,lottery_game.1.player.group_id,lottery_game.1.player.payoff,lottery_game.1.group.id_in_subsession,lottery_game.1.group.subsession_id,lottery_game.1.subsession.round_number,lottery_game.2.player.id_in_group,lottery_game.2.player.loteria,lottery_game.2.player.coin,lottery_game.2.player.subsession_id,lottery_game.2.player.group_id,lottery_game.2.player.payoff,lottery_game.2.group.id_in_subsession,lottery_game.2.group.subsession_id,lottery_game.2.subsession.round_number,lottery_game.3.player.id_in_group,lottery_game.3.player.loteria,lottery_game.3.player.coin,lottery_game.3.player.subsession_id,lottery_game.3.player.group_id,lottery_game.3.player.payoff,lottery_game.3.group.id_in_subsession,lottery_game.3.group.subsession_id,lottery_game.3.subsession.round_number,lottery_game.4.player.id_in_group,lottery_game.4.player.loteria,lottery_game.4.player.coin,lottery_game.4.player.subsession_id,lottery_game.4.player.group_id,lottery_game.4.player.payoff,lottery_game.4.group.id_in_subsession,lottery_game.4.group.subsession_id,lottery_game.4.subsession.round_number,lottery_game.5.player.id_in_group,lottery_game.5.player.loteria,lottery_game.5.player.coin,lottery_game.5.player.subsession_id,lottery_game.5.player.group_id,lottery_game.5.player.payoff,lottery_game.5.group.id_in_subsession,lottery_game.5.group.subsession_id,lottery_game.5.subsession.round_number
1,p6i90lpz,,0,7,37,bret,2,Decision,10.91.166.137,2018-04-17 00:56:47.464663+00:00,1,,,20,20.00,85995ou1,,,,,,1,1.0,0.00,1,24,Hombre,Universidad (pregrado),,,,7,6,5,4,3,2,1,1,1,0,1,1,1,1,0,1,7,20,,20,1,1,20,1,1,1,1,,,,,,,2,2,0,1,2,2,1,,,,,,,3,3,0,1,3,3,1,,,,,,,4,4,0,1,4,4,1,,,,,,,5,5,0,1,5,5,1,,2,1,1,0,1,1,1,1,,7,2,2,0,1,2,2,1,,9,3,3,0,1,3,3,1,,9,4,4,0,1,4,4,1,,4,5,5,0,1,5,5
1,jgj2795j,,0,4,37,bret,1,Decision,10.9.233.102,2018-04-17 01:01:45.227189+00:00,1,,,0,0.00,3gls2nfy,,,,,,1,1.0,0.00,1,26,Hombre,Universidad (pregrado),,,,,,,,,,,2,2,0,1,2,1,1,,,,,,,6,6,0,1,6,1,1,,,,,,,7,7,0,1,7,2,1,,,,,,,8,8,0,1,8,3,1,,,,,,,9,9,0,1,9,4,1,,,,,,,10,10,0,1,10,5,1,,4,6,6,0,1,6,1,1,,5,7,7,0,1,7,2,1,,5,8,8,0,1,8,3,1,,2,9,9,0,1,9,4,1,,8,10,10,0,1,10,5
1,veygm990,,0,2,15,bret,1,Decision,10.33.226.28,2018-04-17 01:02:34.392614+00:00,1,,,0,0.00,epm2s0eq,,,,,,1,1.0,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,,11,11,0,1,11,1,1,,,,,,,12,12,0,1,12,2,1,,,,,,,13,13,0,1,13,3,1,,,,,,,14,14,0,1,14,4,1,,,,,,,15,15,0,1,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,fb5mar14,,0,0,37,,,,,,0,,,0,0.00,etjdt9ta,,,,,,1,1.0,0.00,1,,,,,,,,,,,,,,3,3,0,1,3,1,1,,,,,,,16,16,0,1,16,1,1,,,,,,,17,17,0,1,17,2,1,,,,,,,18,18,0,1,18,3,1,,,,,,,19,19,0,1,19,4,1,,,,,,,20,20,0,1,20,5,1,,4,11,11,0,1,11,1,1,,10,12,12,0,1,12,2,1,,9,13,13,0,1,13,3,1,,10,14,14,0,1,14,4,1,,7,15,15,0,1,15,5
1,dhx58ile,,0,0,37,,,,,,0,,,0,0.00,ofmsv444,,,,,,1,1.0,0.00,1,,,,,,,,,,,,,,4,4,0,1,4,1,1,,,,,,,21,21,0,1,21,1,1,,,,,,,22,22,0,1,22,2,1,,,,,,,23,23,0,1,23,3,1,,,,,,,24,24,0,1,24,4,1,,,,,,,25,25,0,1,25,5,1,,3,16,16,0,1,16,1,1,,9,17,17,0,1,17,2,1,,6,18,18,0,1,18,3,1,,7,19,19,0,1,19,4,1,,10,20,20,0,1,20,5
1,gg70dljc,,0,4,37,bret,1,Decision,10.45.100.228,2018-04-17 01:04:25.912893+00:00,1,,,0,0.00,ebdyfxvo,,,,,,1,1.0,0.00,1,20,Hombre,Universidad (pregrado),,,,,,,,,,,5,5,0,1,5,1,1,,,,,,,26,26,0,1,26,1,1,,,,,,,27,27,0,1,27,2,1,,,,,,,28,28,0,1,28,3,1,,,,,,,29,29,0,1,29,4,1,,,,,,,30,30,0,1,30,5,1,,5,21,21,0,1,21,1,1,,6,22,22,0,1,22,2,1,,10,23,23,0,1,23,3,1,,8,24,24,0,1,24,4,1,,8,25,25,0,1,25,5
1,nzzmgdhv,,0,2,15,bret,1,Decision,10.65.108.122,2018-04-17 01:04:10.590199+00:00,1,,,0,0.00,0upqwmlz,,,,,,1,1.0,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,,31,31,0,1,31,1,1,,,,,,,32,32,0,1,32,2,1,,,,,,,33,33,0,1,33,3,1,,,,,,,34,34,0,1,34,4,1,,,,,,,35,35,0,1,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8wb83lal,,0,4,37,bret,1,Decision,10.148.31.26,2018-04-17 01:05:35.903550+00:00,1,,,0,0.00,mjn52i83,,,,,,1,1.0,0.00,1,28,Hombre,Universidad (pregrado),,,,,,,,,,,6,6,0,1,6,1,1,,,,,,,36,36,0,1,36,1,1,,,,,,,37,37,0,1,37,2,1,,,,,,,38,38,0,1,38,3,1,,,,,,,39,39,0,1,39,4,1,,,,,,,40,40,0,1,40,5,1,,3,26,26,0,1,26,1,1,,4,27,27,0,1,27,2,1,,7,28,28,0,1,28,3,1,,9,29,29,0,1,29,4,1,,4,30,30,0,1,30,5
1,giliu3x6,,0,1,20,lottery_game,1,Instructions,10.101.219.132,2018-04-17 01:10:39.377204+00:00,1,,,0,0.00,49m0xjr4,,,,,,1,1.0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,31,31,0,1,31,1,1,,4,32,32,0,1,32,2,1,,8,33,33,0,1,33,3,1,,10,34,34,0,1,34,4,1,,7,35,35,0,1,35,5
1,r74o9832,,0,2,15,bret,1,Decision,10.101.219.132,2018-04-17 01:10:50.226018+00:00,1,,,0,0.00,epk9duj4,,,,,,1,1.0,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,,41,41,0,1,41,1,1,,,,,,,42,42,0,1,42,2,1,,,,,,,43,43,0,1,43,3,1,,,,,,,44,44,0,1,44,4,1,,,,,,,45,45,0,1,45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,n030fqxv,,0,38,37,lottery_game,5,TotalResults,10.97.231.53,2018-04-17 02:41:34.946240+00:00,1,,,157,157.00,jf1jsn1m,,,,,,0,1.0,0.00,1,23,Mujer,Universidad (pregrado),5,5,4,6,6,4,5,6,3,4,7,7,0,1,7,1,1,0,6,9,75,,75,46,46,75,1,46,1,1,1,7,4,75,,0,47,47,0,1,47,2,1,1,1,2,75,,0,48,48,0,1,48,3,1,1,1,5,50,,0,49,49,0,1,49,4,1,1,5,7,50,,0,50,50,0,1,50,5,1,2,6,36,36,26,1,36,1,1,2,10,37,37,26,1,37,2,1,3,2,38,38,10,1,38,3,1,4,4,39,39,6,1,39,4,1,2,2,40,40,14,1,40,5
2,ssuf0q9s,,0,38,37,lottery_game,5,TotalResults,10.47.231.89,2018-04-17 15:37:04.716295+00:00,1,,,320,320.00,jf1jsn1m,,,,,,0,1.0,0.00,2,27,Mujer,Universidad (pregrado),3,5,7,5,6,7,6,3,5,2,7,7,0,1,7,1,2,1,2,3,30,,0,46,46,0,1,46,1,2,0,4,8,30,,30,47,47,30,1,47,2,2,0,7,3,20,,20,48,48,20,1,48,3,2,1,6,2,100,,0,49,49,0,1,49,4,2,0,1,9,60,,60,50,50,60,1,50,5,2,4,6,36,36,42,1,36,1,2,5,10,37,37,50,1,37,2,2,2,1,38,38,14,1,38,3,2,5,8,39,39,50,1,39,4,2,6,7,40,40,54,1,40,5
3,q1qvokr3,,0,38,37,lottery_game,5,TotalResults,10.178.67.219,2018-04-17 15:39:58.727146+00:00,1,,,240,240.00,jf1jsn1m,,,,,,0,1.0,0.00,3,28,Hombre,Universidad (pregrado),5,3,4,3,6,5,5,5,5,3,7,7,0,1,7,1,3,0,3,3,30,,30,46,46,30,1,46,1,3,1,2,9,40,,0,47,47,0,1,47,2,3,0,7,3,60,,60,48,48,60,1,48,3,3,1,6,9,60,,0,49,49,0,1,49,4,3,1,9,5,50,,0,50,50,0,1,50,5,3,3,6,36,36,34,1,36,1,3,3,3,37,37,10,1,37,2,3,4,3,38,38,6,1,38,3,3,5,9,39,39,50,1,39,4,3,5,9,40,40,50,1,40,5
4,nuu9dkwy,,0,38,37,lottery_game,5,TotalResults,10.111.216.133,2018-04-17 15:44:39.832570+00:00,1,,,155,155.00,jf1jsn1m,,,,,,0,1.0,0.00,4,21,Hombre,Universidad (pregrado),6,6,6,5,7,4,5,5,6,4,7,7,0,1,7,1,4,0,3,10,1,,1,46,46,1,1,46,1,4,0,8,4,1,,1,47,47,1,1,47,2,4,0,9,9,1,,1,48,48,1,1,48,3,4,0,6,5,1,,1,49,49,1,1,49,4,4,0,2,5,1,,1,50,50,1,1,50,5,4,1,4,36,36,18,1,36,1,4,1,1,37,37,18,1,37,2,4,5,8,38,38,50,1,38,3,4,5,9,39,39,50,1,39,4,4,2,1,40,40,14,1,40,5
5,7pygyvbb,,0,38,37,lottery_game,5,TotalResults,10.11.176.95,2018-04-17 15:51:08.183831+00:00,1,,,182,182.00,jf1jsn1m,,,,,,0,1.0,0.00,5,30,Mujer,Postgrado,7,2,7,6,6,2,7,1,3,1,7,7,0,1,7,1,5,0,1,7,20,,20,46,46,20,1,46,1,5,1,3,4,50,,0,47,47,0,1,47,2,5,1,4,2,40,,0,48,48,0,1,48,3,5,0,2,6,40,,40,49,49,40,1,49,4,5,1,6,3,40,,0,50,50,0,1,50,5,5,6,10,36,36,54,1,36,1,5,6,4,37,37,-2,1,37,2,5,6,2,38,38,-2,1,38,3,5,6,9,39,39,54,1,39,4,5,1,2,40,40,18,1,40,5
6,t07f2vk7,,0,38,37,lottery_game,5,TotalResults,10.171.115.37,2018-04-17 15:48:41.780283+00:00,1,,,146,146.00,jf1jsn1m,,,,,,0,1.0,0.00,6,26,Mujer,Universidad (pregrado),5,6,7,7,7,5,1,1,1,4,7,7,0,1,7,1,6,1,8,4,50,,0,46,46,0,1,46,1,6,0,9,9,25,,25,47,47,25,1,47,2,6,1,5,2,50,,0,48,48,0,1,48,3,6,0,2,1,25,,25,49,49,25,1,49,4,6,0,6,9,30,,30,50,50,30,1,50,5,6,4,2,36,36,6,1,36,1,6,4,3,37,37,6,1,37,2,6,4,10,38,38,42,1,38,3,6,4,5,39,39,6,1,39,4,6,4,1,40,40,6,1,40,5
7,3dwvvhvm,,0,38,37,lottery_game,5,TotalResults,10.101.207.111,2018-04-17 15:49:47.832328+00:00,1,,,213,213.00,jf1jsn1m,,,,,,0,1.0,0.00,7,31,Hombre,Universidad (pregrado),7,5,7,5,7,4,7,1,7,2,7,7,0,1,7,1,7,0,9,3,15,,15,46,46,15,1,46,1,7,0,3,2,15,,15,47,47,15,1,47,2,7,0,7,1,5,,5,48,48,5,1,48,3,7,1,6,5,50,,0,49,49,0,1,49,4,7,0,8,3,20,,20,50,50,20,1,50,5,7,3,10,36,36,34,1,36,1,7,1,1,37,37,18,1,37,2,7,6,2,38,38,-2,1,38,3,7,6,6,39,39,54,1,39,4,7,6,9,40,40,54,1,40,5
8,zdcnv12r,,0,38,37,lottery_game,5,TotalResults,10.69.110.126,2018-04-17 15:53:07.519550+00:00,1,,,247,247.00,jf1jsn1m,,,,,,0,1.0,0.00,8,27,Hombre,Postgrado,5,5,6,5,5,7,6,2,6,2,7,7,0,1,7,1,8,0,1,6,35,,35,46,46,35,1,46,1,8,1,8,7,40,,0,47,47,0,1,47,2,8,0,7,6,36,,36,48,48,36,1,48,3,8,0,3,2,37,,37,49,49,37,1,49,4,8,0,1,6,37,,37,50,50,37,1,50,5,8,3,10,36,36,34,1,36,1,8,4,7,37,37,42,1,37,2,8,4,3,38,38,6,1,38,3,8,3,2,39,39,10,1,39,4,8,3,5,40,40,10,1,40,5
9,1dwzwcj1,,0,38,37,lottery_game,5,TotalResults,10.5.228.216,2018-04-17 15:56:38.421434+00:00,1,,,269,269.00,jf1jsn1m,,,,,,0,1.0,0.00,9,28,Hombre,Universidad (pregrado),7,1,7,2,7,2,7,2,7,1,7,7,0,1,7,1,9,1,6,7,40,,0,46,46,0,1,46,1,9,0,5,10,35,,35,47,47,35,1,47,2,9,0,3,8,37,,37,48,48,37,1,48,3,9,0,1,4,39,,39,49,49,39,1,49,4,9,0,4,1,40,,40,50,50,40,1,50,5,9,2,3,36,36,14,1,36,1,9,3,6,37,37,34,1,37,2,9,3,7,38,38,34,1,38,3,9,1,8,39,39,18,1,39,4,9,1,10,40,40,18,1,40,5
10,utr2xuwv,,0,38,37,lottery_game,5,TotalResults,10.47.231.89,2018-04-17 16:05:52.900339+00:00,1,,,232,232.00,jf1jsn1m,,,,,,0,1.0,0.00,10,20,Hombre,Secundaria completa,5,7,7,3,7,7,4,1,5,1,7,7,0,1,7,1,10,0,3,4,8,,8,46,46,8,1,46,1,10,0,4,9,14,,14,47,47,14,1,47,2,10,0,2,2,10,,10,48,48,10,1,48,3,10,0,7,5,6,,6,49,49,6,1,49,4,10,0,3,6,28,,28,50,50,28,1,50,5,10,4,9,36,36,42,1,36,1,10,5,9,37,37,50,1,37,2,10,4,5,38,38,6,1,38,3,10,3,9,39,39,34,1,39,4,10,3,10,40,40,34,1,40,5
11,cpycdslt,,0,2,37,ingreso_datos,1,soft_skills,10.35.228.180,2018-04-17 16:08:59.300531+00:00,1,,,0,0.00,jf1jsn1m,,,,,,0,1.0,0.00,11,20,Hombre,Secundaria completa,,,,,,,,,,,7,7,0,1,7,1,11,,,,,,,46,46,0,1,46,1,11,,,,,,,47,47,0,1,47,2,11,,,,,,,48,48,0,1,48,3,11,,,,,,,49,49,0,1,49,4,11,,,,,,,50,50,0,1,50,5,11,,6,36,36,0,1,36,1,11,,8,37,37,0,1,37,2,11,,9,38,38,0,1,38,3,11,,7,39,39,0,1,39,4,11,,8,40,40,0,1,40,5
12,8caegdk6,,0,38,37,lottery_game,5,TotalResults,10.189.169.232,2018-04-17 16:09:49.845282+00:00,1,,,189,189.00,jf1jsn1m,,,,,,0,1.0,0.00,12,28,Hombre,Universidad (pregrado),4,1,6,2,7,4,7,1,6,6,7,7,0,1,7,1,12,0,3,10,10,,10,46,46,10,1,46,1,12,0,10,5,5,,5,47,47,5,1,47,2,12,0,9,4,20,,20,48,48,20,1,48,3,12,0,6,1,28,,28,49,49,28,1,49,4,12,1,2,10,35,,0,50,50,0,1,50,5,12,4,7,36,36,42,1,36,1,12,5,6,37,37,50,1,37,2,12,6,2,38,38,-2,1,38,3,12,1,7,39,39,18,1,39,4,12,1,10,40,40,18,1,40,5
13,k17rf2xs,,0,38,37,lottery_game,5,TotalResults,10.95.210.176,2018-04-17 16:15:45.521593+00:00,1,,,160,160.00,jf1jsn1m,,,,,,0,1.0,0.00,13,19,Hombre,Universidad (pregrado),7,6,5,4,5,5,7,1,6,1,7,7,0,1,7,1,13,1,7,3,25,,0,46,46,0,1,46,1,13,0,9,6,10,,10,47,47,10,1,47,2,13,1,1,7,99,,0,48,48,0,1,48,3,13,1,10,2,50,,0,49,49,0,1,49,4,13,1,7,2,75,,0,50,50,0,1,50,5,13,2,1,36,36,14,1,36,1,13,2,7,37,37,26,1,37,2,13,2,9,38,38,26,1,38,3,13,4,10,39,39,42,1,39,4,13,4,6,40,40,42,1,40,5
14,vl8ifaxb,,0,38,37,lottery_game,5,TotalResults,10.51.158.205,2018-04-17 16:17:20.280846+00:00,1,,,164,164.00,jf1jsn1m,,,,,,0,1.0,0.00,14,22,Hombre,Universidad (pregrado),7,5,6,2,6,4,6,3,6,2,7,7,0,1,7,1,14,0,6,4,1,,1,46,46,1,1,46,1,14,0,8,10,25,,25,47,47,25,1,47,2,14,1,3,1,69,,0,48,48,0,1,48,3,14,1,6,1,69,,0,49,49,0,1,49,4,14,1,2,7,69,,0,50,50,0,1,50,5,14,5,6,36,36,50,1,36,1,14,3,5,37,37,10,1,37,2,14,6,4,38,38,-2,1,38,3,14,6,10,39,39,54,1,39,4,14,2,8,40,40,26,1,40,5
15,5q0szuf0,,0,38,37,lottery_game,5,TotalResults,10.102.224.171,2018-04-17 16:14:09.330087+00:00,1,,,85,85.00,jf1jsn1m,,,,,,0,1.0,0.00,15,22,Hombre,Universidad (pregrado),4,2,6,6,6,4,7,4,3,3,7,7,0,1,7,1,15,0,6,10,10,,10,46,46,10,1,46,1,15,0,3,5,18,,18,47,47,18,1,47,2,15,0,4,5,7,,7,48,48,7,1,48,3,15,1,8,8,25,,0,49,49,0,1,49,4,15,1,3,8,94,,0,50,50,0,1,50,5,15,5,2,36,36,2,1,36,1,15,3,1,37,37,10,1,37,2,15,4,7,38,38,42,1,38,3,15,6,3,39,39,-2,1,39,4,15,6,3,40,40,-2,1,40,5
16,252qaloe,,0,0,37,,,,,,0,,,0,0.00,jf1jsn1m,,,,,,0,1.0,0.00,16,,,,,,,,,,,,,,7,7,0,1,7,1,16,,,,,,,46,46,0,1,46,1,16,,,,,,,47,47,0,1,47,2,16,,,,,,,48,48,0,1,48,3,16,,,,,,,49,49,0,1,49,4,16,,,,,,,50,50,0,1,50,5,16,,1,36,36,0,1,36,1,16,,8,37,37,0,1,37,2,16,,4,38,38,0,1,38,3,16,,2,39,39,0,1,39,4,16,,2,40,40,0,1,40,5
17,wofqye5p,,0,38,37,lottery_game,5,TotalResults,10.61.153.83,2018-04-17 16:54:52.520772+00:00,1,,,159,159.00,jf1jsn1m,,,,,,0,1.0,0.00,17,23,Mujer,Universidad (pregrado),6,5,7,3,7,7,7,5,5,1,7,7,0,1,7,1,17,1,4,10,35,,0,46,46,0,1,46,1,17,0,9,7,65,,65,47,47,65,1,47,2,17,1,3,8,99,,0,48,48,0,1,48,3,17,1,9,7,82,,0,49,49,0,1,49,4,17,1,6,3,100,,0,50,50,0,1,50,5,17,3,7,36,36,34,1,36,1,17,1,10,37,37,18,1,37,2,17,3,8,38,38,34,1,38,3,17,3,5,39,39,10,1,39,4,17,6,2,40,40,-2,1,40,5
18,81gah10k,,0,0,37,,,,,,0,,,0,0.00,jf1jsn1m,,,,,,0,1.0,0.00,18,,,,,,,,,,,,,,7,7,0,1,7,1,18,,,,,,,46,46,0,1,46,1,18,,,,,,,47,47,0,1,47,2,18,,,,,,,48,48,0,1,48,3,18,,,,,,,49,49,0,1,49,4,18,,,,,,,50,50,0,1,50,5,18,,10,36,36,0,1,36,1,18,,7,37,37,0,1,37,2,18,,3,38,38,0,1,38,3,18,,7,39,39,0,1,39,4,18,,5,40,40,0,1,40,5
19,72nawc9w,,0,0,37,,,,,,0,,,0,0.00,jf1jsn1m,,,,,,0,1.0,0.00,19,,,,,,,,,,,,,,7,7,0,1,7,1,19,,,,,,,46,46,0,1,46,1,19,,,,,,,47,47,0,1,47,2,19,,,,,,,48,48,0,1,48,3,19,,,,,,,49,49,0,1,49,4,19,,,,,,,50,50,0,1,50,5,19,,10,36,36,0,1,36,1,19,,4,37,37,0,1,37,2,19,,5,38,38,0,1,38,3,19,,5,39,39,0,1,39,4,19,,9,40,40,0,1,40,5
20,nnkv1dq3,,0,0,37,,,,,,0,,,0,0.00,jf1jsn1m,,,,,,0,1.0,0.00,20,,,,,,,,,,,,,,7,7,0,1,7,1,20,,,,,,,46,46,0,1,46,1,20,,,,,,,47,47,0,1,47,2,20,,,,,,,48,48,0,1,48,3,20,,,,,,,49,49,0,1,49,4,20,,,,,,,50,50,0,1,50,5,20,,5,36,36,0,1,36,1,20,,5,37,37,0,1,37,2,20,,6,38,38,0,1,38,3,20,,5,39,39,0,1,39,4,20,,4,40,40,0,1,40,5
21,lsi65x4y,,0,0,37,,,,,,0,,,0,0.00,jf1jsn1m,,,,,,0,1.0,0.00,21,,,,,,,,,,,,,,7,7,0,1,7,1,21,,,,,,,46,46,0,1,46,1,21,,,,,,,47,47,0,1,47,2,21,,,,,,,48,48,0,1,48,3,21,,,,,,,49,49,0,1,49,4,21,,,,,,,50,50,0,1,50,5,21,,8,36,36,0,1,36,1,21,,2,37,37,0,1,37,2,21,,10,38,38,0,1,38,3,21,,2,39,39,0,1,39,4,21,,2,40,40,0,1,40,5
